[GC (Allocation Failure) [DefNew: 13129K->1600K(14784K), 0.0039379 secs] 13129K->1834K(47552K), 0.0039679 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2025-06-11 15:29:04.828  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:04.828  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:04.828  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-auth/api/user-info 
2025-06-11 15:29:04.828  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-auth/api/user-info 
2025-06-11 15:29:04.828  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:04.828  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:04.828  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:04.828  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:04.828  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:04.828  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:04.828  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-sc-user-token , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:04.828  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:04.828  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:04.828  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-sc-user-token , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:04.839  INFO 1 --- [io-8080-exec-10] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the sg.gov.moe.sc.academic.service.impl.CommonServiceImpl.getAcademicYear method
2025-06-11 15:29:04.839  INFO 1 --- [nio-8080-exec-1] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the sg.gov.moe.sc.academic.service.impl.CommonServiceImpl.getSectionBySearch method
2025-06-11 15:29:04.839  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:04.839  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-dbmaster-api/api/csr/config/parameter/CSR 
2025-06-11 15:29:04.839  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:04.839  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:04.839  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:04.839  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-dbmaster-api/api/csr/school/section-info/2302 
2025-06-11 15:29:04.839  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:04.839  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:04.839  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:04.839  INFO 1 --- [io-8080-exec-10] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> X-SC-USER-TOKEN , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:04.839  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:04.839  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:04.839  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:04.839  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> X-SC-USER-TOKEN , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:04.846  INFO 1 --- [io-8080-exec-10] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the sg.gov.moe.sc.academic.service.impl.CommonServiceImpl.getAcademicYear method
2025-06-11 15:29:04.848  INFO 1 --- [nio-8080-exec-1] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the sg.gov.moe.sc.academic.service.impl.CommonServiceImpl.getSectionBySearch method
2025-06-11 15:29:04.943  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:04.943  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-auth/api/user-info 
2025-06-11 15:29:04.943  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:04.943  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:04.943  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:04.943  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:04.943  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-sc-user-token , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:04.950  INFO 1 --- [nio-8080-exec-4] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the sg.gov.moe.sc.academic.service.impl.CommonServiceImpl.getConfigYearSearch method
2025-06-11 15:29:04.950  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:04.950  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-dbmaster-api/api/csr/config/parameter/CSR 
2025-06-11 15:29:04.950  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:04.950  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:04.950  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:04.950  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:04.950  INFO 1 --- [nio-8080-exec-4] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> X-SC-USER-TOKEN , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:04.955  INFO 1 --- [nio-8080-exec-4] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the sg.gov.moe.sc.academic.service.impl.CommonServiceImpl.getConfigYearSearch method
2025-06-11 15:29:04.984  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:04.985  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-auth/api/user-info 
2025-06-11 15:29:04.985  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:04.985  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:04.985  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:04.985  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:04.985  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-sc-user-token , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:04.988  INFO 1 --- [nio-8080-exec-3] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the sg.gov.moe.sc.academic.service.impl.SubjectCombinationServiceImpl.getCourseTypeList method
2025-06-11 15:29:04.993  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:04.993  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-dbmaster-api/api/csr/config/student-code/COURSETYPE 
2025-06-11 15:29:04.993  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:04.993  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:04.993  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:04.993  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:04.993  INFO 1 --- [nio-8080-exec-3] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> X-SC-USER-TOKEN , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:04.998  INFO 1 --- [nio-8080-exec-3] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the sg.gov.moe.sc.academic.service.impl.SubjectCombinationServiceImpl.getCourseTypeList method
2025-06-11 15:29:05.411  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:05.412  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-auth/api/user-info 
2025-06-11 15:29:05.412  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:05.412  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:05.412  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:05.412  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:05.412  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-sc-user-token , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:05.419  INFO 1 --- [nio-8080-exec-5] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the sg.gov.moe.sc.academic.service.impl.CommonServiceImpl.getLevels method
2025-06-11 15:29:05.419  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:05.419  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-dbmaster-api/api/csr/school/level-info/2302 
2025-06-11 15:29:05.420  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:05.420  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:05.420  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:05.420  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:05.420  INFO 1 --- [nio-8080-exec-5] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> X-SC-USER-TOKEN , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:05.432  INFO 1 --- [nio-8080-exec-5] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the sg.gov.moe.sc.academic.service.impl.CommonServiceImpl.getLevels method
2025-06-11 15:29:05.532  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:05.533  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-auth/api/user-info 
2025-06-11 15:29:05.533  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:05.533  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:05.533  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:05.533  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:05.533  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-sc-user-token , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:05.538  INFO 1 --- [nio-8080-exec-6] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the sg.gov.moe.sc.academic.service.impl.SubjectCombinationServiceImpl.getConfirmResultLevelList method
2025-06-11 15:29:05.538  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:05.538  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-dbmaster-api/api/csr/school/confirm/2302/2025 
2025-06-11 15:29:05.538  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:05.538  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:05.538  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:05.538  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:05.538  INFO 1 --- [nio-8080-exec-6] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> X-SC-USER-TOKEN , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:05.544  INFO 1 --- [nio-8080-exec-6] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the sg.gov.moe.sc.academic.service.impl.SubjectCombinationServiceImpl.getConfirmResultLevelList method
2025-06-11 15:29:19.677  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:19.677  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-auth/api/user-info 
2025-06-11 15:29:19.677  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:19.677  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:19.677  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:19.677  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:19.677  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-sc-user-token , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:19.684  INFO 1 --- [nio-8080-exec-9] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the sg.gov.moe.sc.academic.service.impl.SubjectCombinationServiceImpl.getSubjectCombinations method
2025-06-11 15:29:19.685  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:19.685  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-dbmaster-api/api/csr/school/level-info/2302 
2025-06-11 15:29:19.685  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:19.685  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:19.685  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:19.685  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:19.685  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> X-SC-USER-TOKEN , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:19.737  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:19.737  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-dbmaster-api/api/csr/config/code-detail/SUBJECTLEVEL 
2025-06-11 15:29:19.737  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:19.737  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:19.737  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:19.737  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:19.737  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> X-SC-USER-TOKEN , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:19.851  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:19.851  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-dbmaster-api/api/csr/staff/staff-details?staffIds=OPM230200103 
2025-06-11 15:29:19.851  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:19.851  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:19.851  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:19.851  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:19.851  INFO 1 --- [nio-8080-exec-9] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> X-SC-USER-TOKEN , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:19.858  INFO 1 --- [nio-8080-exec-9] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the sg.gov.moe.sc.academic.service.impl.SubjectCombinationServiceImpl.getSubjectCombinations method
2025-06-11 15:29:19.990  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:19.990  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-auth/api/user-info 
2025-06-11 15:29:19.990  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:19.990  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:19.990  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:19.990  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:19.990  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-sc-user-token , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:19.996  INFO 1 --- [nio-8080-exec-1] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the sg.gov.moe.sc.academic.service.impl.SubjectCombinationServiceImpl.getSubjectsForBandedGroup method
2025-06-11 15:29:20.005  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:29:20.005  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-dbmaster-api/api/csr/config/code-detail/SUBJECTLEVEL 
2025-06-11 15:29:20.005  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:29:20.005  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:29:20.005  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:29:20.005  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:29:20.005  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> X-SC-USER-TOKEN , [f2d71711814e4812879c418d28628eac]
2025-06-11 15:29:20.071  INFO 1 --- [nio-8080-exec-1] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the sg.gov.moe.sc.academic.service.impl.SubjectCombinationServiceImpl.getSubjectsForBandedGroup method
2025-06-11 15:37:28.604  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : feign intercept request
2025-06-11 15:37:28.604  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : Request URL  /sc-auth/api/user-info 
2025-06-11 15:37:28.604  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : Gateway ID is present
2025-06-11 15:37:28.604  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : x-app-request is present blue 
2025-06-11 15:37:28.604  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> Cookie , [GATEWAYID=2170f50f-cc0f-4c2b-afad-4ec7bf3a9963]
2025-06-11 15:37:28.604  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-app-req , [blue]
2025-06-11 15:37:28.604  INFO 1 --- [nio-8080-exec-1] s.g.m.sc.comp.util.HeaderPropgateFeign   : after feign interceptor process header ==> x-sc-user-token , [f2d71711814e4812879c418d28628eac]
[GC (Allocation Failure) [DefNew: 49461K->2390K(53568K), 0.0093607 secs] 160884K->113813K(172360K), 0.0093951 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2025-06-11 15:37:28.766  INFO 1 --- [nio-8080-exec-1] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the sg.gov.moe.sc.academic.service.impl.SubjectCombinationServiceImpl.saveCourseChanges method
2025-06-11 15:37:28.782  INFO 1 --- [nio-8080-exec-1] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the sg.gov.moe.sc.academic.service.impl.CSRAuditServiceImpl.saveCSRAudit method
2025-06-11 15:37:28.898  INFO 1 --- [nio-8080-exec-1] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the sg.gov.moe.sc.academic.service.impl.CSRAuditServiceImpl.saveCSRAudit method
